corruption_level,trial,strict_success,inversion_tolerant_success,steps_to_converge,initial_energy,final_energy
0.25,23,1,1,5,-11.999999999999996,-49.5
0.25,24,1,1,4,-11.999999999999996,-49.5
0.25,25,0,0,4,-11.999999999999998,-47.52000000000001
0.25,26,1,1,5,-11.999999999999996,-49.5
0.25,27,1,1,6,-11.999999999999996,-49.5
0.25,28,0,0,4,-11.999999999999996,-47.52000000000001
0.25,29,0,0,6,-12.0,-47.52000000000001
0.25,30,0,0,3,-11.999999999999996,-47.52000000000001
0.25,31,1,1,4,-11.999999999999993,-49.5
0.25,32,1,1,4,-11.999999999999996,-49.5
0.25,33,1,1,4,-11.999999999999993,-49.5
0.25,34,1,1,3,-12.0,-49.5
0.25,35,1,1,5,-11.999999999999996,-49.5
0.25,36,1,1,3,-11.999999999999996,-49.5
0.25,37,0,0,6,-11.999999999999998,-47.52000000000001
0.25,38,1,1,5,-11.999999999999996,-49.5
0.25,39,0,0,4,-11.999999999999993,-47.52000000000001
0.25,40,1,1,4,-11.999999999999995,-49.5
0.25,41,1,1,4,-11.999999999999996,-49.5
0.25,42,1,1,5,-11.999999999999996,-49.5
0.25,43,1,1,4,-12.0,-49.5
0.25,44,1,1,5,-11.999999999999996,-49.5
0.25,45,0,0,4,-11.999999999999996,-47.52000000000001
0.25,46,1,1,4,-11.999999999999996,-49.5
0.25,47,0,0,4,-11.999999999999996,-45.58000000000001
0.25,48,1,1,5,-11.999999999999996,-49.5
0.25,49,1,1,6,-11.999999999999993,-49.5
0.5,0,0,0,5,0.5,-47.52000000000001
0.5,1,0,1,6,0.4999999999999998,-49.5
0.5,2,1,1,4,0.5,-49.5
0.5,3,1,1,5,0.5,-49.5
0.5,4,1,1,7,0.5,-49.5
0.5,5,0,0,5,0.5000000000000001,-47.52000000000001
0.5,6,1,1,6,0.5,-49.5
0.5,7,0,0,4,0.5,-47.52000000000001
0.5,8,1,1,5,0.5,-49.5
0.5,9,0,1,5,0.5,-49.5
0.5,10,0,0,4,0.5,-43.68000000000002
0.5,11,0,1,7,0.5000000000000001,-49.5
0.5,12,1,1,4,0.5,-49.5
0.5,13,1,1,5,0.5000000000000001,-49.5
0.5,14,0,1,6,0.5,-49.5
0.5,15,0,1,7,0.5,-49.5
0.5,16,1,1,6,0.49999999999999994,-49.5
0.5,17,1,1,6,0.5,-49.5
0.5,18,1,1,5,0.49999999999999983,-49.5
0.5,19,0,0,6,0.4999999999999998,-47.52000000000001
