n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
3,2,33,0,0,-47.519999999999996
3,0,34,0,0,-44.660000000000004
3,1,34,1,1,-50.10000000000001
3,2,34,1,1,-49.86
3,0,35,1,1,-48.900000000000006
3,1,35,1,1,-50.10000000000001
3,2,35,1,1,-49.86
3,0,36,1,1,-48.900000000000006
3,1,36,1,1,-50.10000000000001
3,2,36,0,0,-45.28
3,0,37,1,1,-48.900000000000006
3,1,37,0,0,-47.68000000000001
3,2,37,0,0,-45.94
3,0,38,1,1,-48.900000000000006
3,1,38,1,1,-50.10000000000001
3,2,38,1,1,-49.86
3,0,39,0,0,-46.88000000000001
3,1,39,1,1,-50.10000000000001
3,2,39,0,0,-47.519999999999996
3,0,40,0,0,-47.04000000000001
3,1,40,1,1,-50.10000000000001
3,2,40,0,0,-47.519999999999996
3,0,41,1,1,-48.900000000000006
3,1,41,1,1,-50.10000000000001
3,2,41,0,0,-48.16000000000001
3,0,42,1,1,-48.900000000000006
3,1,42,1,1,-50.10000000000001
3,2,42,0,0,-44.31999999999999
3,0,43,1,1,-48.900000000000006
3,1,43,1,1,-50.10000000000001
3,2,43,1,1,-49.86
3,0,44,1,1,-48.900000000000006
3,1,44,1,1,-50.10000000000001
3,2,44,0,0,-45.86
3,0,45,1,1,-48.900000000000006
3,1,45,1,1,-50.10000000000001
3,2,45,0,0,-47.68000000000001
3,0,46,1,1,-48.900000000000006
3,1,46,1,1,-50.10000000000001
3,2,46,1,1,-49.86
3,0,47,1,1,-48.900000000000006
3,1,47,0,0,-48.640000000000015
3,2,47,0,0,-48.16000000000001
3,0,48,0,0,-47.040000000000006
3,1,48,1,1,-50.10000000000001
3,2,48,0,0,-48.16000000000001
3,0,49,1,1,-48.900000000000006
3,1,49,0,0,-48.31999999999999
3,2,49,1,1,-49.86
5,0,0,0,0,-48.000000000000014
5,1,0,0,0,-46.699999999999996
5,2,0,1,1,-49.660000000000004
5,3,0,1,1,-61.42000000000001
5,4,0,0,0,-60.38
5,0,1,0,0,-48.64000000000001
5,1,1,0,0,-50.88000000000001
5,2,1,1,1,-49.660000000000004
5,3,1,1,1,-61.42000000000001
5,4,1,0,0,-64.14
5,0,2,0,0,-47.84000000000001
5,1,2,0,0,-62.46000000000001
5,2,2,1,1,-49.660000000000004
5,3,2,0,0,-63.580000000000005
5,4,2,0,0,-64.32000000000001
5,0,3,1,1,-50.220000000000006
5,1,3,0,0,-49.920000000000016
5,2,3,1,1,-49.660000000000004
5,3,3,0,0,-64.0
5,4,3,0,0,-64.32000000000001
5,0,4,1,1,-50.220000000000006
5,1,4,1,1,-53.1
5,2,4,0,0,-47.36
5,3,4,1,1,-61.42000000000001
5,4,4,0,0,-64.32000000000001
5,0,5,0,0,-49.120000000000005
5,1,5,1,1,-53.1
5,2,5,1,1,-49.660000000000004
