trial,classification,final_energy,hamming_to_nearest_stored
323,Stored,-48.900000,0
324,Stored,-49.860000,0
325,Unknown Attractor,-34.500000,68
326,Stored,-48.900000,0
327,Inverted,-48.900000,100
328,Inverted,-49.860000,100
329,Stored,-50.100000,0
330,Inverted,-50.100000,100
331,Stored,-47.680000,1
332,Inverted,-48.900000,100
333,Inverted,-50.100000,100
334,Unknown Attractor,-38.660000,22
335,Inverted,-47.200000,99
336,Inverted,-48.900000,100
337,Stored,-50.100000,0
338,Stored,-50.100000,0
339,Stored,-48.320000,1
340,Unknown Attractor,-30.880000,27
341,Stored,-49.860000,0
342,Stored,-49.860000,0
343,Stored,-50.100000,0
344,Stored,-50.100000,0
345,Unknown Attractor,-34.500000,20
346,Stored,-48.000000,1
347,Inverted,-45.380000,98
348,Mixture,-43.700000,26
349,Stored,-48.320000,1
350,Unknown Attractor,-38.660000,20
351,Stored,-49.860000,0
352,Inverted,-48.900000,100
353,Stored,-50.100000,0
354,Stored,-48.900000,0
355,Unknown Attractor,-38.660000,22
356,Stored,-50.100000,0
357,Inverted,-50.100000,100
358,Mixture,-43.700000,74
359,Inverted,-48.900000,100
360,Stored,-48.900000,0
361,Inverted,-48.900000,100
362,Inverted,-45.380000,98
363,Unknown Attractor,-38.660000,20
364,Stored,-48.900000,0
365,Unknown Attractor,-35.680000,23
366,Mixture,-43.700000,74
367,Stored,-48.900000,0
368,Inverted,-48.640000,99
369,Inverted,-48.900000,100
370,Inverted,-47.680000,99
371,Stored,-47.520000,1
372,Stored,-50.100000,0
373,Inverted,-50.100000,100
374,Inverted,-48.900000,100
375,Unknown Attractor,-32.180000,22
376,Unknown Attractor,-38.660000,20
377,Stored,-50.100000,0
378,Inverted,-49.860000,100
379,Stored,-46.720000,1
380,Unknown Attractor,-38.660000,22
381,Inverted,-48.000000,99
382,Stored,-48.900000,0
383,Stored,-50.100000,0
384,Stored,-48.900000,0
385,Inverted,-50.100000,100
386,Mixture,-42.400000,25
387,Stored,-49.860000,0
388,Unknown Attractor,-31.360000,25
389,Inverted,-49.860000,100
390,Stored,-48.000000,1
391,Stored,-48.000000,1
392,Inverted,-47.040000,99
393,Mixture,-42.720000,27
394,Stored,-48.900000,0
395,Stored,-48.900000,0
396,Stored,-49.860000,0
397,Inverted,-50.100000,100
398,Stored,-48.900000,0
399,Inverted,-48.900000,100
400,Stored,-46.880000,1
401,Stored,-48.900000,0
402,Inverted,-48.900000,100
403,Stored,-48.900000,0
404,Mixture,-43.700000,26
405,Inverted,-50.100000,100
406,Inverted,-47.680000,99
407,Stored,-48.900000,0
408,Stored,-48.900000,0
409,Stored,-45.380000,2
410,Stored,-49.860000,0
411,Inverted,-38.020000,94
412,Stored,-44.480000,3
413,Unknown Attractor,-34.500000,68
414,Inverted,-50.100000,100
415,Inverted,-50.100000,100
416,Inverted,-49.860000,100
417,Stored,-49.860000,0
418,Unknown Attractor,-31.680000,21
419,Inverted,-50.100000,100
420,Stored,-48.320000,1
421,Stored,-48.900000,0
422,Stored,-50.100000,0
423,Inverted,-49.860000,100
424,Stored,-48.900000,0
425,Inverted,-50.100000,100
426,Inverted,-49.860000,100
427,Stored,-47.680000,1
428,Inverted,-47.200000,99
429,Inverted,-48.900000,100
430,Stored,-47.680000,1
431,Stored,-47.680000,1
432,Inverted,-49.860000,100
433,Inverted,-50.100000,100
434,Stored,-50.100000,0
435,Stored,-50.100000,0
436,Inverted,-49.860000,100
437,Stored,-49.860000,0
438,Unknown Attractor,-32.660000,20
439,Stored,-48.900000,0
440,Stored,-42.880000,3
441,Inverted,-48.640000,99
